Flair_name,Flair_id
Megathread,d66011b0-a552-11ea-982b-0e39d88f524b
Scheduled,62d6cb78-3174-11e5-9db7-0ecbbd00e599
Foreign Relations,87cac512-1d08-11eb-ad0b-0e5e270e4ce5
Sports,82ac768c-3174-11e5-950c-0e3f27028b2f
Art/Photo (OC),629855d4-9ac4-11e8-a921-0e4e2f0e766c
Crime,a4b368ae-6655-11ec-8f46-de0cfdda1277
Rant / Vent,dc76fe88-664e-11ec-b768-7a1c22db6418
Politics,77f04f12-7ea0-11e3-ac66-22000a0b8292
Non Political,8f105a84-7ea0-11e3-bba1-12313b0c91be
Culture & Heritage ,a068b548-1d08-11eb-a34c-0e38cd15065f
History ,b296e92e-1d08-11eb-a7ed-0edd7560b1c3
AskIndia,0c1b1aea-3166-11e5-aaec-0ef63926eacd
Policy/Economy,91a7550c-3166-11e5-9d94-0e09b4299f63
Memes/Satire (OC),81a72c32-6656-11ec-82ca-e64a05c4f3c7
Coronavirus,8041227c-6517-11ea-b83e-0e7048fc0c5b
Business/Finance,14165a30-316a-11e5-8f83-0ec07e44b9c3
Immigration,683fec48-6656-11ec-9e51-aa8b9f7eb4a1
Science/Technology,40e5c9b0-316a-11e5-bfc3-0e93edfed695
Law & Courts,687b3904-6082-11eb-af80-0e41d1ca0be9
Health/Environment,67098c94-4720-11ec-9c52-7272f5f21dbd
AMA Announcement,20b4080c-1db2-11eb-8b95-0ec2bf30b3d5
Food,9d63ec2c-9301-11e6-8bc6-0e75e6e00470
